slope_music,slope_speech,MSI-general
-0.2,0.166666666666667,102
-0.299999999999999,0.166666666666667,82
0.266666666666667,-0.4,69
-0.366666666666666,0.0666666666666668,73
0.233333333333333,0.566666666666667,76
0.0666666666666675,-0.233333333333333,65
0.200000000000001,0.0666666666666668,72
-0.0333333333333334,0.366666666666666,62
-0.200000000000001,0.233333333333334,77
0.0666666666666682,-0.866666666666666,77
0.1,0.433333333333334,81
-0.433333333333332,0.133333333333334,55
0.133333333333334,0.333333333333334,65
0.7,0.166666666666666,78
-0.833333333333333,0.966666666666667,92
0.2,0.133333333333334,67
0.166666666666667,-0.266666666666666,89
0.0333333333333334,0.1,100
-0.0333333333333334,-0.033333333333332,80
-0.0333333333333327,-0.0666666666666661,74
-0.333333333333333,0.600000000000001,62
-0.666666666666666,0.0333333333333341,86
-0.0999999999999989,0.566666666666667,116
-0.399999999999999,0.433333333333334,44
-0.366666666666666,-0.0999999999999996,47
0.233333333333334,-0.2,54
0,-0.199999999999999,84
-0.0333333333333327,0.233333333333335,75
-0.233333333333333,0.433333333333334,66
-0.666666666666666,-0.266666666666666,61
0.333333333333334,0.333333333333334,75
-0.0999999999999996,1.53333333333333,56
-0.233333333333333,7.0216669371534e-16,95
-0.299999999999999,0.266666666666667,47
0.533333333333334,-0.199999999999999,98
-1.1,1.1,77
-1.1,-0.799999999999999,83
-0.233333333333333,-0.299999999999999,65
-0.199999999999999,7.0216669371534e-16,49
-0.533333333333332,-0.199999999999999,79
0.633333333333334,-0.166666666666666,117
0.1,0.333333333333333,67
-0.733333333333333,0.266666666666667,88
-0.666666666666666,0.166666666666667,84
-0.433333333333332,0.833333333333334,78
7.0216669371534e-16,0.4,75
-0.299999999999999,0.233333333333334,80
-0.0999999999999996,-0.0999999999999996,81
-0.266666666666667,-0.2,69
0.266666666666666,-0.299999999999999,70
-0.599999999999999,0.5,96
-0.633333333333333,-0.0999999999999996,74
0.533333333333333,-0.166666666666666,50
-0.733333333333333,0.366666666666666,99
0.0666666666666668,0.166666666666666,62
-0.233333333333333,0.0666666666666668,74
-0.0666666666666661,-0.599999999999999,60
-0.233333333333333,-0.533333333333332,57
-0.366666666666666,0.200000000000001,81
-0.200000000000001,0.233333333333335,95
-0.966666666666666,-0.466666666666667,40
-0.466666666666666,-0.666666666666666,65
-1.06666666666667,-0.499999999999999,61
-0.333333333333333,0.0666666666666675,66
0,-0.499999999999999,76
0.0333333333333348,0.133333333333334,62
-0.466666666666667,0.666666666666667,97
-0.0333333333333327,0.600000000000001,37
-1.1,-0.266666666666666,88
-0.433333333333332,0.266666666666667,98
-0.266666666666667,-0.499999999999999,82
-0.0999999999999996,0.4,48
-0.0999999999999989,-0.333333333333333,54
-0.166666666666666,0.133333333333334,75
-0.466666666666666,0.200000000000001,48
-0.666666666666666,0.0666666666666668,102
-0.333333333333332,-0.166666666666667,58
-1.46666666666667,1.36666666666667,91
