volAdjustRep.thisRepN,volAdjustRep.thisTrialN,volAdjustRep.thisN,volAdjustRep.thisIndex,volAdjustRep.ran,participant,date,expName,psychopyVersion,OS,frameRate,headphoneResponse.keys,headphoneResponse.corr,headphoneResponse.rt,headphoneTrial.thisRepN,headphoneTrial.thisTrialN,headphoneTrial.thisN,headphoneTrial.thisIndex,headphoneTrial.ran,headphone_sound1,headphone_sound2,headphone_sound3,corrAns,trainSlider.response,trainSlider.rt,beepTrainResponse.keys,beepTrainResponse.corr,trainingTrials.thisRepN,trainingTrials.thisTrialN,trainingTrials.thisN,trainingTrials.thisIndex,trainingTrials.ran,trainAudioFile,beepTrainResponse.rt,readyReal_resp.keys,readyReal_resp.rt,ratingSlider.response,ratingSlider.rt,beepResp.keys,beepResp.corr,expTrials.thisRepN,expTrials.thisTrialN,expTrials.thisN,expTrials.thisIndex,expTrials.ran,audioFile,beepResp.rt,end_resp.keys,end_resp.rt
0,0,0,0,1,38993,2021-04-25_19h14.24.303,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0,1,38993,2021-04-25_19h14.24.303,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,38993,2021-04-25_19h14.24.303,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,1,1,3.266165,0,0,0,4,1,stimuli/screen_quiet.wav,stimuli/screen_antiphase.wav,stimuli/screen_origin.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,38993,2021-04-25_19h14.24.303,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,3,1,1.06284,0,1,1,2,1,stimuli/screen_origin.wav,stimuli/screen_antiphase.wav,stimuli/screen_quiet.wav,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,38993,2021-04-25_19h14.24.303,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,3,1,1.067265,0,2,2,0,1,stimuli/screen_antiphase.wav,stimuli/screen_origin.wav,stimuli/screen_quiet.wav,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,38993,2021-04-25_19h14.24.303,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,1,1,2.95058,0,3,3,5,1,stimuli/screen_quiet.wav,stimuli/screen_origin.wav,stimuli/screen_antiphase.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,38993,2021-04-25_19h14.24.303,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,2,1,0.7504,0,4,4,3,1,stimuli/screen_origin.wav,stimuli/screen_quiet.wav,stimuli/screen_antiphase.wav,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,38993,2021-04-25_19h14.24.303,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,2,1,0.48479,0,5,5,1,1,stimuli/screen_antiphase.wav,stimuli/screen_quiet.wav,stimuli/screen_origin.wav,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,38993,2021-04-25_19h14.24.303,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,,,,,,,,,,,,,2,17.92608,,0,0,0,0,3,1,stimuli/stim_20210407_power2amp/equal_lnn_AM_training5.1Hz.m4a,,,,,,,,,,,,,,,,
,,,,,38993,2021-04-25_19h14.24.303,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,,,,,,,,,,,,,1,7.65807,,0,0,1,1,0,1,stimuli/stim_20210407_power2amp/equal_lnn_AM_training1.5Hz.m4a,,,,,,,,,,,,,,,,
,,,,,38993,2021-04-25_19h14.24.303,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,,,,,,,,,,,,,2,6.34918,3,1,0,2,2,2,1,stimuli/stim_20210407_power2amp/equal_lnn_AM_training3.9Hz.m4a,1.759825,,,,,,,,,,,,,,,
,,,,,38993,2021-04-25_19h14.24.303,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,,,,,,,,,,,,,2,7.76153,,0,0,3,3,1,1,stimuli/stim_20210407_power2amp/equal_lnn_AM_training2.7Hz.m4a,,,,,,,,,,,,,,,,
,,,,,38993,2021-04-25_19h14.24.303,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,space,3.81467,1,6.328575,,0,0,0,0,123,1,stimuli/stim_20210407_power2amp/equal_lnn_AM5.4Hz_43.m4a,,,
,,,,,38993,2021-04-25_19h14.24.303,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,2,5.958475,,0,0,1,1,48,1,stimuli/stim_20210407_power2amp/equal_lnn_AM2.4Hz_2.m4a,,,
,,,,,38993,2021-04-25_19h14.24.303,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.326355,,0,0,2,2,50,1,stimuli/stim_20210407_power2amp/equal_lnn_AM2.4Hz_14.m4a,,,
,,,,,38993,2021-04-25_19h14.24.303,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.82603,,0,0,3,3,81,1,stimuli/stim_20210407_power2amp/equal_lnn_AM3.6Hz_56.m4a,,,
,,,,,38993,2021-04-25_19h14.24.303,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.7279,,0,0,4,4,145,1,stimuli/stim_20210407_power2amp/equal_lnn_AM6Hz_58.m4a,,,
,,,,,38993,2021-04-25_19h14.24.303,judgeSpeechMusic_20210407_logNormShiftAmp,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,2,5.677395,,0,0,5,5,65,1,stimuli/stim_20210407_power2amp/equal_lnn_AM3Hz_4.m4a,,,
