volAdjustRep.thisRepN,volAdjustRep.thisTrialN,volAdjustRep.thisN,volAdjustRep.thisIndex,volAdjustRep.ran,participant,date,expName,psychopyVersion,OS,frameRate,headphoneResponse.keys,headphoneResponse.corr,headphoneResponse.rt,headphoneTrial.thisRepN,headphoneTrial.thisTrialN,headphoneTrial.thisN,headphoneTrial.thisIndex,headphoneTrial.ran,headphone_sound1,headphone_sound2,headphone_sound3,corrAns,checkInstruKey.keys,checkInstruKey.rt,trainSlider.response,trainSlider.rt,beepTrainResponse.keys,beepTrainResponse.corr,trainingTrials.thisRepN,trainingTrials.thisTrialN,trainingTrials.thisN,trainingTrials.thisIndex,trainingTrials.ran,trainAudioFile,beepTrainResponse.rt,readyReal_resp.keys,readyReal_resp.rt,checkInstru2_key.keys,checkInstru2_key.rt,ratingSlider.response,ratingSlider.rt,beepResp.keys,beepResp.corr,expTrials.thisRepN,expTrials.thisTrialN,expTrials.thisN,expTrials.thisIndex,expTrials.ran,audioFile,beepResp.rt,switchBlock_space.keys,switchBlock_space.rt,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,block.ran,blockName,blockImage,end_resp.keys,end_resp.rt
0,0,0,0,1,41512,2021-10-11_14h03.36.244,judgeSpeechMusic_20210919_logNormShiftAmp_detection_fixFreq,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41512,2021-10-11_14h03.36.244,judgeSpeechMusic_20210919_logNormShiftAmp_detection_fixFreq,2020.1.2,MacIntel,60,3,1,0.8163,0,0,0,0,1,stimuli/screen_antiphase.wav,stimuli/screen_origin.wav,stimuli/screen_quiet.wav,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41512,2021-10-11_14h03.36.244,judgeSpeechMusic_20210919_logNormShiftAmp_detection_fixFreq,2020.1.2,MacIntel,60,1,1,2.7659,0,1,1,4,1,stimuli/screen_quiet.wav,stimuli/screen_antiphase.wav,stimuli/screen_origin.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41512,2021-10-11_14h03.36.244,judgeSpeechMusic_20210919_logNormShiftAmp_detection_fixFreq,2020.1.2,MacIntel,60,2,1,0.3736,0,2,2,1,1,stimuli/screen_antiphase.wav,stimuli/screen_quiet.wav,stimuli/screen_origin.wav,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41512,2021-10-11_14h03.36.244,judgeSpeechMusic_20210919_logNormShiftAmp_detection_fixFreq,2020.1.2,MacIntel,60,2,1,1.3123,0,3,3,3,1,stimuli/screen_origin.wav,stimuli/screen_quiet.wav,stimuli/screen_antiphase.wav,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41512,2021-10-11_14h03.36.244,judgeSpeechMusic_20210919_logNormShiftAmp_detection_fixFreq,2020.1.2,MacIntel,60,1,1,0.417,0,4,4,5,1,stimuli/screen_quiet.wav,stimuli/screen_origin.wav,stimuli/screen_antiphase.wav,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41512,2021-10-11_14h03.36.244,judgeSpeechMusic_20210919_logNormShiftAmp_detection_fixFreq,2020.1.2,MacIntel,60,3,1,0.3328,0,5,5,2,1,stimuli/screen_origin.wav,stimuli/screen_antiphase.wav,stimuli/screen_quiet.wav,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41512,2021-10-11_14h03.36.244,judgeSpeechMusic_20210919_logNormShiftAmp_detection_fixFreq,2020.1.2,MacIntel,60,,,,,,,,,,,,,space,1.4628,1,9.3331,,0,0,0,0,1,1,stimuli/stim_20210919_power2amp/equal_lnn_AM_training2Hz_s30.m4a,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41512,2021-10-11_14h03.36.244,judgeSpeechMusic_20210919_logNormShiftAmp_detection_fixFreq,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,1,6.3856,,0,0,1,1,0,1,stimuli/stim_20210919_power2amp/equal_lnn_AM_training2Hz_s20.m4a,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41512,2021-10-11_14h03.36.244,judgeSpeechMusic_20210919_logNormShiftAmp_detection_fixFreq,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,1,6.8366,3,1,0,2,2,3,1,stimuli/stim_20210919_power2amp/equal_lnn_AM_training2Hz_s50.m4a,2.5265,,,,,,,,,,,,,,,,,,,,,,,,,,
